Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDL48,OUT018,949.2143475703493
FDC48,OUT027,1559.2558154227704
FDA36,OUT017,2326.994295754064
FDM24,OUT049,1683.14003323949
FDD48,OUT010,259.04305454508994
FDW12,OUT035,3270.812044790866
FDC37,OUT027,2342.498801491397
FDZ36,OUT045,2596.3061334047925
FDK60,OUT017,2185.4995538863604
FDG12,OUT046,2747.989193975135
FDX24,OUT013,1032.0716434690548
FDS60,OUT027,5104.114817573881
FDC60,OUT049,1208.0080161981182
FDA48,OUT018,3739.5809484307265
FDZ36,OUT027,3998.7826014762904
FDW23,OUT018,367.92310320508454
FDW60,OUT018,3762.0606043781245
FDY59,OUT010,-0.31043235798892965
FDR60,OUT049,1107.3394232021296
FDV24,OUT013,2678.907425143992
FDZ48,OUT010,188.0153558693346
FDS24,OUT027,2129.966856133603
FDS48,OUT045,2438.9473824927763
FDM60,OUT010,181.48429160564388
FDV24,OUT017,3371.649368500532
FDS12,OUT027,3276.3224382493754
FDP12,OUT027,1112.4796212765045
FDV24,OUT046,2838.2563051392617
FDW36,OUT017,2813.456302103725
FDA36,OUT018,1667.1325454387236
FDU48,OUT045,2754.541855027386
FDH12,OUT035,1619.2579683114618
FDI12,OUT013,1459.5053061594922
FDY24,OUT019,290.02362009604053
FDY24,OUT017,1240.9061794158645
FDQ12,OUT010,-44.61522387871264
FDS48,OUT017,3088.446487208482
FDU24,OUT045,1512.6512136072347
FDG12,OUT035,2427.938147036828
FDZ59,OUT046,3328.9123381385057
FDQ60,OUT045,2297.293084540013
FDV12,OUT049,1818.1151183729994
FDM24,OUT018,2762.975050681017
FDQ24,OUT049,3254.311624971819
FDA48,OUT049,3500.502671941501
FDN60,OUT049,4066.4734060744677
FDP60,OUT018,2384.340679666465
FDY24,OUT045,1179.492297651742
FDW12,OUT019,163.91069209637567
FDX48,OUT027,4095.3963368976774
FDR36,OUT046,867.7609552955707
FDX12,OUT018,5470.126291593481
FDN24,OUT049,604.3316124982562
FDB60,OUT045,2809.5231295629783
FDR12,OUT049,3551.9156556973494
FDW60,OUT049,2903.1908195354254
FDJ36,OUT017,2317.506820281523
FDW36,OUT046,2076.7766480139976
FDP12,OUT018,1176.9628729124556
FDU60,OUT018,1107.6673901391769
FDT36,OUT035,384.609974094559
FDD36,OUT035,2601.96007022997
FDR24,OUT049,1349.6108640095435
FDE36,OUT019,517.7829166050371
FDI24,OUT017,1909.94858147631
FDA11,OUT019,144.39137457194897
FDU48,OUT018,1198.9856935705066
FDY12,OUT045,681.8673572813914
FDU60,OUT017,2149.110243281238
FDH12,OUT013,2068.567919809795
FDR24,OUT018,1482.8084237309663
FDW24,OUT017,426.6422246902314
FDU24,OUT035,1835.607764022232
FDW36,OUT018,1726.1348629083177
FDE24,OUT019,110.77592886323373
FDC60,OUT045,1172.0162646284616
FDL36,OUT013,1461.896958361685
FDZ48,OUT035,1021.357489357521
FDR12,OUT035,2814.9275944992696
FDX23,OUT049,703.1556389700224
FDT60,OUT027,4010.641624639019
FDS12,OUT046,2033.4705108929697
FDP12,OUT013,1177.7665294780625
FDU48,OUT027,2712.803679628552
FDB12,OUT045,1954.7084745647087
FDQ60,OUT046,3030.914930641049
FDR60,OUT045,879.2908356614007
FDI36,OUT017,2348.373399055677
FDJ36,OUT013,2213.6940911467755
FDZ60,OUT046,1415.7242046124534
FDX48,OUT013,1545.2585960672895
FDZ12,OUT027,3665.7651735990175
FDU36,OUT017,1521.2045936762615
FDX60,OUT049,1299.8273590774797
FDJ12,OUT027,5678.484722284957
FDD48,OUT027,2602.401932833435
FDO48,OUT010,1437.4908873400766
FDL24,OUT046,3550.39324145744
FDD36,OUT013,2767.124742026178
FDP48,OUT010,531.2296275556837
FDX12,OUT049,4958.221647592028
FDE36,OUT046,3487.167491750479
FDZ36,OUT049,3322.5059302439804
FDA11,OUT049,1061.054429184007
FDN48,OUT010,156.50945836009805
FDQ12,OUT013,4242.821413053811
FDO36,OUT018,2362.774813079156
FDA35,OUT018,1690.4792756533054
FDZ59,OUT035,2642.113989920631
FDQ36,OUT013,981.3943078288054
FDF24,OUT046,1873.286951482545
FDA11,OUT013,551.1184926060773
FDQ12,OUT017,2243.0688405197334
FDP36,OUT046,844.6144870840801
FDA48,OUT027,5101.280074053699
FDJ12,OUT018,2182.481310480912
FDY12,OUT035,476.93612961928966
FDH12,OUT027,2257.217977283959
FDA47,OUT035,2286.712611946323
FDT36,OUT049,170.96266105993323
FDQ48,OUT049,1532.413988149647
FDC60,OUT027,2094.947865952465
FDZ47,OUT018,1937.7956011311237
FDY36,OUT035,526.9143882823096
